
,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
107,2002,Monmouth,38.1038.1,39.5039.5,43.2043.2,54.8054.8,59.3059.3,70.4070.4,76.9076.9,76.2076.2,68.5068.5,55.3055.3,43.9043.9,34.2034.2
108,2003,Monmouth,27.2027.2,29.3029.3,41.9041.9,48.2048.2,57.0057.0,67.6067.6,75.6075.6,76.0076.0,67.6067.6,53.5053.5,49.2049.2,36.7036.7
109,2004,Monmouth,25.6025.6,34.2034.2,43.0043.0,51.9051.9,65.6065.6,70.2070.2,73.5073.5,73.3073.3,68.4068.4,54.5054.5,47.5047.5,36.8036.8
110,2005,Monmouth,31.8031.8,35.6035.6,38.0038.0,52.6052.6,57.1057.1,72.4072.4,76.6076.6,77.4077.4,71.0071.0,57.0057.0,48.9048.9,34.3034.3
111,2006,Monmouth,39.5039.5,35.6035.6,42.4042.4,53.9053.9,61.4061.4,70.5070.5,77.6077.6,75.0075.0,65.2065.2,54.5054.5,50.4050.4,42.8042.8
112,2007,Monmouth,37.6037.6,28.4028.4,41.8041.8,49.0049.0,63.3063.3,70.7070.7,74.1074.1,73.8073.8,68.6068.6,63.0063.0,45.0045.0,36.8036.8
113,2008,Monmouth,35.7035.7,37.3037.3,42.4042.4,52.7052.7,57.8057.8,73.2073.2,76.4076.4,71.7071.7,67.9067.9,54.2054.2,44.9044.9,38.0038.0
114,2009,Monmouth,28.1028.1,36.6036.6,41.2041.2,52.4052.4,61.4061.4,67.7067.7,72.5072.5,75.7075.7,65.4065.4,53.9053.9,50.5050.5,35.7035.7
115,2010,Monmouth,32.2032.2,32.6032.6,46.4046.4,55.8055.8,64.1064.1,74.6074.6,79.3079.3,75.5075.5,69.9069.9,56.7056.7,46.0046.0,32.1032.1
116,2011,Monmouth,28.7028.7,35.6035.6,42.4042.4,54.2054.2,63.3063.3,72.2072.2,79.0079.0,74.5074.5,69.7069.7,56.7056.7,50.0050.0,41.4041.4
117,2012,Monmouth,36.5036.5,39.9039.9,49.8049.8,53.2053.2,64.5064.5,70.2070.2,78.4078.4,75.3075.3,68.0068.0,57.3057.3,42.2042.2,41.2041.2
118,2013,Monmouth,35.2035.2,34.0034.0,39.2039.2,51.4051.4,60.8060.8,71.8071.8,78.8078.8,72.3072.3,65.1065.1,57.6057.6,43.9043.9,37.4037.4
119,2014,Monmouth,27.2027.2,30.4030.4,36.5036.5,50.3050.3,62.0062.0,71.1071.1,74.7074.7,71.6071.6,68.2068.2,57.7057.7,42.6042.6,39.9039.9
120,2015,Monmouth,28.8028.8,23.2023.2,36.8036.8,52.1052.1,65.7065.7,70.6070.6,76.4076.4,75.7075.7,71.5071.5,55.3055.3,50.7050.7,49.2049.2
121,2016,Monmouth,32.2032.2,36.6036.6,47.3047.3,51.2051.2,60.8060.8,70.9070.9,78.0078.0,77.5077.5,70.3070.3,56.7056.7,47.4047.4,37.4037.4
122,2017,Monmouth,37.2037.2,40.8040.8,39.2039.2,55.4055.4,60.5060.5,71.0071.0,75.9075.9,72.1072.1,68.9068.9,61.2061.2,44.9044.9,34.1034.1
123,2018,Monmouth,29.8029.8,40.3040.3,39.3039.3,48.2048.2,65.4065.4,70.4070.4,76.8076.8,77.8077.8,70.9070.9,56.8056.8,43.4043.4,38.4038.4
124,2019,Monmouth,32.9032.9,35.3035.3,40.0040.0,55.1055.1,62.7062.7,71.3071.3,79.1079.1,75.3075.3,70.3070.3,59.1059.1,42.5042.5,37.2037.2

,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Morris,19.2019.2,27.4027.4,33.5033.5,47.1047.1,59.4059.4,65.8065.8,72.3072.3,71.4071.4,64.8064.8,53.4053.4,42.9042.9,29.6029.6
76,1971,Morris,22.0022.0,28.4028.4,35.4035.4,45.8045.8,55.2055.2,67.8067.8,70.7070.7,69.0069.0,65.6065.6,57.0057.0,39.8039.8,35.0035.0
77,1972,Morris,29.2029.2,25.4025.4,34.9034.9,44.6044.6,58.6058.6,63.5063.5,72.5072.5,69.3069.3,63.6063.6,47.2047.2,38.5038.5,33.4033.4
78,1973,Morris,30.0030.0,27.2027.2,42.4042.4,49.4049.4,55.1055.1,69.8069.8,72.5072.5,72.0072.0,63.6063.6,54.0054.0,42.9042.9,33.8033.8
79,1974,Morris,29.2029.2,26.9026.9,37.7037.7,50.3050.3,57.3057.3,64.5064.5,71.5071.5,70.2070.2,61.4061.4,48.0048.0,42.6042.6,33.5033.5
80,1975,Morris,31.2031.2,30.7030.7,35.5035.5,43.3043.3,61.6061.6,67.1067.1,71.6071.6,70.1070.1,59.0059.0,54.8054.8,46.3046.3,31.0031.0
81,1976,Morris,22.1022.1,33.5033.5,40.0040.0,50.6050.6,56.8056.8,69.3069.3,69.3069.3,69.0069.0,60.5060.5,47.7047.7,36.0036.0,24.1024.1
82,1977,Morris,16.8016.8,28.2028.2,42.1042.1,50.0050.0,60.5060.5,65.0065.0,72.2072.2,69.6069.6,63.5063.5,49.9049.9,43.2043.2,28.3028.3
83,1978,Morris,23.2023.2,20.4020.4,33.8033.8,47.0047.0,56.5056.5,66.2066.2,69.7069.7,71.3071.3,60.5060.5,50.4050.4,42.6042.6,32.0032.0
84,1979,Morris,27.4027.4,18.7018.7,41.0041.0,47.8047.8,59.7059.7,64.5064.5,71.1071.1,70.2070.2,62.5062.5,50.7050.7,45.4045.4,33.3033.3
85,1980,Morris,27.9027.9,24.9024.9,35.1035.1,49.7049.7,60.4060.4,64.6064.6,73.0073.0,73.6073.6,65.7065.7,49.9049.9,38.2038.2,26.2026.2
86,1981,Morris,19.3019.3,33.7033.7,36.1036.1,51.0051.0,59.1059.1,67.4067.4,72.6072.6,69.0069.0,61.8061.8,48.1048.1,41.7041.7,29.0029.0
87,1982,Morris,18.4018.4,29.5029.5,35.7035.7,46.0046.0,60.1060.1,63.6063.6,71.2071.2,66.9066.9,62.3062.3,51.8051.8,44.4044.4,36.8036.8
88,1983,Morris,28.4028.4,30.6030.6,40.2040.2,47.3047.3,56.6056.6,67.7067.7,73.7073.7,72.3072.3,64.6064.6,51.9051.9,42.5042.5,28.6028.6
89,1984,Morris,22.5022.5,34.5034.5,32.0032.0,47.6047.6,57.2057.2,68.9068.9,70.2070.2,71.6071.6,60.2060.2,56.1056.1,41.6041.6,36.7036.7
90,1985,Morris,22.9022.9,29.8029.8,39.5039.5,50.5050.5,61.1061.1,64.0064.0,70.9070.9,69.5069.5,64.5064.5,52.3052.3,44.5044.5,27.9027.9
91,1986,Morris,27.6027.6,26.7026.7,38.9038.9,49.0049.0,61.2061.2,65.8065.8,71.2071.2,67.8067.8,61.4061.4,52.7052.7,39.4039.4,33.1033.1
92,1987,Morris,26.7026.7,28.1028.1,40.5040.5,49.8049.8,58.8058.8,68.6068.6,73.2073.2,68.3068.3,62.2062.2,47.4047.4,42.2042.2,34.0034.0
93,1988,Morris,21.7021.7,28.8028.8,38.6038.6,46.9046.9,58.3058.3,66.7066.7,74.6074.6,73.2073.2,61.1061.1,47.1047.1,43.1043.1,30.0030.0
94,1989,Morris,31.1031.1,29.4029.4,37.1037.1,46.2046.2,57.9057.9,68.4068.4,70.8070.8,69.1069.1,63.6063.6,53.0053.0,40.6040.6,19.4019.4
95,1990,Morris,34.8034.8,34.6034.6,40.8040.8,48.6048.6,56.2056.2,67.0067.0,72.0072.0,70.5070.5,61.8061.8,56.4056.4,44.5044.5,36.5036.5
96,1991,Morris,27.8027.8,34.4034.4,40.7040.7,51.0051.0,64.1064.1,69.1069.1,72.7072.7,71.9071.9,62.6062.6,52.7052.7,42.8042.8,34.4034.4
97,1992,Morris,30.1030.1,32.0032.0,35.4035.4,46.2046.2,56.7056.7,64.8064.8,69.6069.6,67.1067.1,62.4062.4,48.3048.3,41.0041.0,31.8031.8
98,1993,Morris,31.9031.9,24.8024.8,33.8033.8,48.7048.7,60.3060.3,67.0067.0,73.8073.8,71.4071.4,62.2062.2,49.6049.6,41.1041.1,30.9030.9
99,1994,Morris,19.5019.5,24.7024.7,35.6035.6,50.8050.8,57.1057.1,69.8069.8,74.2074.2,68.1068.1,62.1062.1,50.5050.5,46.2046.2,35.7035.7
100,1995,Morris,32.6032.6,25.8025.8,41.4041.4,47.4047.4,56.8056.8,67.8067.8,73.3073.3,72.0072.0,62.3062.3,55.2055.2,38.0038.0,26.7026.7
101,1996,Morris,25.4025.4,28.7028.7,34.1034.1,48.5048.5,56.6056.6,67.8067.8,69.3069.3,70.2070.2,63.6063.6,52.0052.0,38.4038.4,35.6035.6
102,1997,Morris,26.9026.9,35.1035.1,38.0038.0,46.6046.6,55.0055.0,66.0066.0,71.5071.5,68.3068.3,61.6061.6,51.5051.5,39.4039.4,32.9032.9
103,1998,Morris,35.3035.3,36.5036.5,41.1041.1,50.4050.4,62.0062.0,66.1066.1,72.1072.1,72.3072.3,65.3065.3,53.0053.0,42.5042.5,37.8037.8
104,1999,Morris,28.9028.9,33.1033.1,37.7037.7,49.1049.1,58.5058.5,68.9068.9,76.5076.5,71.6071.6,64.7064.7,50.4050.4,46.0046.0,34.5034.5
105,2000,Morris,26.7026.7,32.0032.0,43.4043.4,47.7047.7,59.8059.8,67.5067.5,68.3068.3,68.3068.3,61.7061.7,52.4052.4,40.9040.9,26.4026.4
106,2001,Morris,26.9026.9,31.8031.8,35.6035.6,49.5049.5,59.9059.9,68.3068.3,68.9068.9,73.4073.4,62.8062.8,53.1053.1,46.3046.3,38.6038.6
107,2002,Morris,34.2034.2,36.1036.1,40.0040.0,51.6051.6,56.3056.3,67.8067.8,74.0074.0,73.6073.6,65.4065.4,50.7050.7,40.6040.6,30.2030.2
108,2003,Morris,23.1023.1,25.1025.1,38.2038.2,46.2046.2,55.7055.7,64.9064.9,72.1072.1,72.8072.8,64.2064.2,50.0050.0,45.8045.8,32.7032.7
109,2004,Morris,21.3021.3,30.0030.0,40.5040.5,49.9049.9,63.4063.4,66.4066.4,70.2070.2,70.4070.4,65.3065.3,51.2051.2,44.2044.2,32.3032.3
110,2005,Morris,26.3026.3,31.6031.6,34.3034.3,51.1051.1,55.3055.3,70.6070.6,73.6073.6,74.4074.4,67.9067.9,53.8053.8,44.5044.5,29.2029.2
111,2006,Morris,35.4035.4,31.9031.9,39.1039.1,51.2051.2,59.6059.6,68.0068.0,74.3074.3,71.5071.5,61.8061.8,51.1051.1,47.3047.3,39.2039.2
112,2007,Morris,33.2033.2,24.4024.4,37.4037.4,46.4046.4,61.4061.4,68.6068.6,71.2071.2,70.2070.2,65.3065.3,59.7059.7,40.2040.2,32.0032.0
113,2008,Morris,31.0031.0,31.3031.3,38.1038.1,51.2051.2,55.4055.4,70.3070.3,73.6073.6,68.8068.8,64.8064.8,50.8050.8,41.4041.4,32.6032.6
114,2009,Morris,23.0023.0,32.1032.1,38.3038.3,50.6050.6,59.3059.3,65.5065.5,69.5069.5,72.5072.5,62.4062.4,50.8050.8,47.4047.4,31.2031.2
115,2010,Morris,28.6028.6,29.9029.9,43.9043.9,53.7053.7,62.2062.2,71.0071.0,75.8075.8,72.0072.0,66.2066.2,53.7053.7,42.7042.7,28.5028.5
116,2011,Morris,24.2024.2,30.1030.1,38.6038.6,51.1051.1,61.6061.6,68.9068.9,75.3075.3,71.5071.5,66.2066.2,53.6053.6,45.8045.8,37.0037.0
117,2012,Morris,31.9031.9,36.7036.7,47.8047.8,50.6050.6,63.2063.2,68.0068.0,75.5075.5,72.4072.4,64.7064.7,54.5054.5,39.5039.5,36.9036.9
118,2013,Morris,31.1031.1,30.0030.0,36.9036.9,49.6049.6,59.1059.1,69.0069.0,75.6075.6,69.3069.3,62.3062.3,54.7054.7,40.4040.4,32.1032.1
119,2014,Morris,22.5022.5,25.6025.6,32.0032.0,48.2048.2,60.3060.3,68.3068.3,72.3072.3,69.1069.1,64.8064.8,55.1055.1,39.5039.5,36.0036.0
120,2015,Morris,24.0024.0,18.4018.4,32.5032.5,49.1049.1,64.4064.4,67.6067.6,73.0073.0,72.3072.3,68.4068.4,51.9051.9,46.9046.9,44.1044.1
121,2016,Morris,28.4028.4,33.2033.2,44.7044.7,49.3049.3,58.8058.8,68.5068.5,74.8074.8,74.5074.5,67.4067.4,54.2054.2,44.6044.6,33.3033.3
122,2017,Morris,33.4033.4,36.7036.7,35.6035.6,54.0054.0,57.9057.9,68.2068.2,73.0073.0,69.4069.4,66.6066.6,58.6058.6,41.3041.3,30.3030.3
123,2018,Morris,25.6025.6,35.8035.8,36.1036.1,45.4045.4,63.4063.4,67.9067.9,74.5074.5,74.2074.2,66.7066.7,52.9052.9,39.4039.4,34.7034.7
124,2019,Morris,28.0028.0,31.2031.2,36.2036.2,52.0052.0,59.9059.9,67.7067.7,75.6075.6,71.8071.8,65.6065.6,54.9054.9,38.4038.4,32.2032.2

,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Ocean,24.2024.2,32.9032.9,37.0037.0,48.8048.8,60.8060.8,68.6068.6,73.8073.8,73.9073.9,69.0069.0,57.0057.0,47.0047.0,35.1035.1
76,1971,Ocean,27.1027.1,34.0034.0,38.9038.9,47.8047.8,57.3057.3,69.8069.8,73.2073.2,72.3072.3,69.1069.1,61.1061.1,44.1044.1,41.0041.0
77,1972,Ocean,33.9033.9,31.1031.1,39.1039.1,46.8046.8,59.0059.0,66.1066.1,74.6074.6,72.1072.1,67.0067.0,50.5050.5,42.8042.8,39.9039.9
78,1973,Ocean,33.8033.8,32.1032.1,45.4045.4,51.5051.5,57.6057.6,71.4071.4,74.9074.9,74.8074.8,67.7067.7,56.6056.6,46.6046.6,38.2038.2
79,1974,Ocean,35.8035.8,31.1031.1,42.3042.3,52.8052.8,59.1059.1,66.8066.8,74.1074.1,73.3073.3,65.5065.5,51.8051.8,46.5046.5,38.3038.3
80,1975,Ocean,36.2036.2,35.1035.1,39.2039.2,45.6045.6,62.5062.5,69.3069.3,73.9073.9,73.7073.7,63.9063.9,58.9058.9,50.4050.4,36.5036.5
81,1976,Ocean,27.8027.8,39.6039.6,44.6044.6,53.0053.0,59.7059.7,71.5071.5,72.5072.5,72.1072.1,64.9064.9,50.8050.8,39.5039.5,29.7029.7
82,1977,Ocean,20.6020.6,33.0033.0,46.1046.1,52.5052.5,62.1062.1,67.6067.6,75.1075.1,73.9073.9,67.8067.8,53.5053.5,47.2047.2,34.2034.2
83,1978,Ocean,28.3028.3,23.9023.9,37.5037.5,48.8048.8,57.2057.2,68.7068.7,71.9071.9,74.6074.6,64.2064.2,53.8053.8,47.1047.1,37.4037.4
84,1979,Ocean,32.4032.4,22.5022.5,43.9043.9,49.0049.0,61.3061.3,65.9065.9,72.9072.9,73.0073.0,66.2066.2,54.3054.3,49.1049.1,38.5038.5
85,1980,Ocean,31.8031.8,29.6029.6,39.1039.1,51.6051.6,62.6062.6,67.5067.5,75.5075.5,75.4075.4,68.5068.5,53.4053.4,41.7041.7,31.6031.6
86,1981,Ocean,24.8024.8,36.8036.8,38.5038.5,53.4053.4,60.8060.8,70.2070.2,75.7075.7,71.5071.5,65.6065.6,52.0052.0,45.1045.1,34.0034.0
87,1982,Ocean,24.1024.1,34.9034.9,40.1040.1,48.0048.0,61.4061.4,66.6066.6,74.1074.1,70.4070.4,65.3065.3,55.0055.0,47.7047.7,41.4041.4
88,1983,Ocean,33.1033.1,34.0034.0,42.3042.3,49.8049.8,58.8058.8,69.9069.9,76.2076.2,74.5074.5,67.2067.2,55.6055.6,46.0046.0,33.8033.8
89,1984,Ocean,27.1027.1,38.8038.8,35.2035.2,48.6048.6,59.2059.2,71.8071.8,73.3073.3,73.9073.9,63.4063.4,59.6059.6,44.4044.4,41.8041.8
90,1985,Ocean,26.7026.7,34.6034.6,43.3043.3,52.7052.7,62.8062.8,66.9066.9,74.3074.3,72.2072.2,67.7067.7,57.6057.6,50.6050.6,32.2032.2
91,1986,Ocean,32.4032.4,31.1031.1,42.4042.4,50.1050.1,63.0063.0,69.8069.8,74.6074.6,71.4071.4,65.9065.9,56.8056.8,43.9043.9,37.7037.7
92,1987,Ocean,30.6030.6,30.5030.5,42.6042.6,50.0050.0,61.4061.4,71.2071.2,76.4076.4,71.5071.5,66.5066.5,50.9050.9,47.3047.3,37.3037.3
93,1988,Ocean,26.6026.6,33.9033.9,42.2042.2,48.2048.2,60.2060.2,68.9068.9,76.6076.6,75.8075.8,64.3064.3,50.2050.2,46.4046.4,34.3034.3
94,1989,Ocean,36.0036.0,33.9033.9,40.2040.2,48.6048.6,59.0059.0,72.2072.2,73.6073.6,73.0073.0,67.2067.2,56.1056.1,44.6044.6,24.0024.0
95,1990,Ocean,39.5039.5,40.0040.0,44.2044.2,50.1050.1,59.2059.2,69.8069.8,75.1075.1,73.4073.4,64.7064.7,59.9059.9,47.5047.5,40.9040.9
96,1991,Ocean,33.6033.6,39.0039.0,43.2043.2,52.5052.5,65.6065.6,70.7070.7,75.6075.6,75.1075.1,65.7065.7,56.2056.2,46.3046.3,39.0039.0
97,1992,Ocean,33.7033.7,35.6035.6,38.4038.4,48.1048.1,57.2057.2,66.5066.5,73.1073.1,70.1070.1,66.0066.0,52.3052.3,44.7044.7,36.2036.2
98,1993,Ocean,36.7036.7,30.2030.2,37.9037.9,49.7049.7,61.3061.3,69.4069.4,76.7076.7,74.1074.1,66.1066.1,53.6053.6,45.1045.1,35.3035.3
99,1994,Ocean,26.4026.4,30.3030.3,39.8039.8,53.7053.7,58.4058.4,71.8071.8,77.2077.2,70.0070.0,65.1065.1,53.7053.7,49.9049.9,41.0041.0
100,1995,Ocean,37.1037.1,29.7029.7,43.2043.2,49.2049.2,58.8058.8,69.0069.0,76.5076.5,74.8074.8,66.4066.4,58.8058.8,42.5042.5,31.7031.7
101,1996,Ocean,30.4030.4,34.5034.5,37.2037.2,50.0050.0,58.4058.4,70.0070.0,72.0072.0,72.4072.4,67.9067.9,55.1055.1,39.9039.9,39.4039.4
102,1997,Ocean,32.0032.0,39.3039.3,41.6041.6,48.2048.2,57.2057.2,67.3067.3,74.4074.4,72.0072.0,65.5065.5,55.2055.2,43.6043.6,37.5037.5
103,1998,Ocean,40.7040.7,40.2040.2,44.2044.2,52.6052.6,62.9062.9,68.5068.5,74.9074.9,74.4074.4,69.4069.4,55.7055.7,45.4045.4,41.3041.3
104,1999,Ocean,34.8034.8,35.8035.8,40.7040.7,51.2051.2,60.7060.7,70.8070.8,78.9078.9,74.2074.2,68.1068.1,54.1054.1,49.9049.9,38.7038.7
105,2000,Ocean,31.7031.7,36.4036.4,46.1046.1,50.0050.0,62.5062.5,70.9070.9,71.5071.5,71.9071.9,65.8065.8,55.4055.4,43.5043.5,30.4030.4
106,2001,Ocean,31.1031.1,35.9035.9,39.1039.1,51.4051.4,62.2062.2,71.9071.9,71.6071.6,76.2076.2,65.7065.7,55.9055.9,50.0050.0,41.8041.8
107,2002,Ocean,38.2038.2,38.6038.6,42.8042.8,54.3054.3,59.5059.5,69.9069.9,76.4076.4,75.8075.8,68.1068.1,55.9055.9,44.1044.1,35.2035.2
108,2003,Ocean,27.6027.6,29.7029.7,42.4042.4,48.2048.2,56.4056.4,67.8067.8,75.2075.2,75.6075.6,68.1068.1,54.2054.2,49.7049.7,36.6036.6
109,2004,Ocean,25.9025.9,34.7034.7,43.1043.1,52.0052.0,65.7065.7,69.9069.9,74.1074.1,73.0073.0,68.6068.6,54.6054.6,47.0047.0,37.5037.5
110,2005,Ocean,31.9031.9,35.3035.3,38.2038.2,51.8051.8,56.0056.0,71.8071.8,76.5076.5,77.2077.2,70.4070.4,56.9056.9,48.5048.5,34.3034.3
111,2006,Ocean,39.9039.9,35.2035.2,42.4042.4,53.4053.4,61.0061.0,70.6070.6,77.3077.3,75.0075.0,65.1065.1,54.5054.5,50.8050.8,42.2042.2
112,2007,Ocean,38.1038.1,29.5029.5,42.0042.0,49.0049.0,62.8062.8,70.4070.4,73.9073.9,73.8073.8,68.5068.5,63.0063.0,44.9044.9,37.6037.6
113,2008,Ocean,36.2036.2,37.6037.6,42.7042.7,52.3052.3,58.1058.1,73.3073.3,76.3076.3,71.7071.7,67.8067.8,54.8054.8,44.7044.7,38.7038.7
114,2009,Ocean,28.8028.8,36.7036.7,41.1041.1,52.2052.2,61.3061.3,67.3067.3,72.7072.7,75.9075.9,65.4065.4,54.3054.3,50.1050.1,36.2036.2
115,2010,Ocean,32.3032.3,31.9031.9,46.5046.5,55.7055.7,63.9063.9,74.2074.2,79.1079.1,75.6075.6,70.1070.1,57.1057.1,45.9045.9,31.5031.5
116,2011,Ocean,28.8028.8,36.8036.8,41.8041.8,54.2054.2,63.4063.4,72.4072.4,78.9078.9,74.3074.3,69.9069.9,56.9056.9,50.3050.3,41.7041.7
117,2012,Ocean,37.2037.2,39.9039.9,50.0050.0,53.0053.0,64.8064.8,70.3070.3,78.3078.3,75.4075.4,68.0068.0,57.8057.8,42.4042.4,42.0042.0
118,2013,Ocean,35.4035.4,34.4034.4,39.0039.0,51.3051.3,60.6060.6,71.4071.4,78.2078.2,71.9071.9,64.9064.9,57.7057.7,44.0044.0,37.9037.9
119,2014,Ocean,27.9027.9,31.3031.3,36.8036.8,50.0050.0,61.7061.7,70.9070.9,74.2074.2,71.1071.1,67.6067.6,57.5057.5,43.1043.1,40.0040.0
120,2015,Ocean,29.7029.7,24.1024.1,37.1037.1,51.6051.6,65.6065.6,70.5070.5,75.8075.8,75.1075.1,71.2071.2,55.4055.4,50.9050.9,49.8049.8
121,2016,Ocean,32.8032.8,37.0037.0,47.3047.3,50.5050.5,60.1060.1,70.8070.8,77.5077.5,77.3077.3,70.3070.3,57.2057.2,47.4047.4,37.7037.7
122,2017,Ocean,37.5037.5,41.7041.7,39.7039.7,55.6055.6,60.2060.2,70.6070.6,76.0076.0,71.9071.9,68.6068.6,60.8060.8,45.5045.5,34.4034.4
123,2018,Ocean,30.6030.6,41.1041.1,38.8038.8,48.3048.3,65.2065.2,70.3070.3,76.3076.3,77.7077.7,71.3071.3,57.5057.5,43.9043.9,39.0039.0
124,2019,Ocean,33.2033.2,36.0036.0,40.2040.2,55.0055.0,63.0063.0,71.2071.2,78.6078.6,75.0075.0,70.2070.2,59.3059.3,42.6042.6,38.3038.3

,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Passaic,19.3019.3,27.7027.7,33.5033.5,47.2047.2,59.5059.5,66.0066.0,72.3072.3,71.8071.8,64.9064.9,53.5053.5,42.9042.9,29.6029.6
76,1971,Passaic,22.0022.0,28.5028.5,35.2035.2,45.8045.8,55.4055.4,68.2068.2,71.0071.0,69.5069.5,65.8065.8,57.2057.2,39.8039.8,35.2035.2
77,1972,Passaic,29.4029.4,25.7025.7,34.6034.6,44.8044.8,58.9058.9,63.8063.8,72.7072.7,69.5069.5,63.8063.8,47.5047.5,38.3038.3,33.5033.5
78,1973,Passaic,30.2030.2,27.2027.2,42.2042.2,49.4049.4,55.1055.1,69.7069.7,72.6072.6,72.6072.6,63.8063.8,54.3054.3,43.0043.0,34.0034.0
79,1974,Passaic,29.2029.2,26.8026.8,37.8037.8,50.5050.5,57.3057.3,64.7064.7,71.7071.7,70.6070.6,61.5061.5,48.2048.2,42.5042.5,33.8033.8
80,1975,Passaic,31.5031.5,31.1031.1,35.6035.6,43.4043.4,62.1062.1,67.2067.2,71.9071.9,70.2070.2,59.3059.3,54.9054.9,46.4046.4,31.0031.0
81,1976,Passaic,22.2022.2,33.8033.8,39.8039.8,51.0051.0,57.1057.1,69.5069.5,69.6069.6,69.6069.6,61.0061.0,48.0048.0,36.6036.6,24.6024.6
82,1977,Passaic,17.2017.2,28.3028.3,42.0042.0,49.8049.8,60.8060.8,65.2065.2,72.6072.6,70.0070.0,63.7063.7,50.0050.0,43.1043.1,28.7028.7
83,1978,Passaic,23.5023.5,20.6020.6,33.7033.7,47.0047.0,56.6056.6,66.4066.4,69.9069.9,71.7071.7,60.6060.6,50.6050.6,42.4042.4,32.2032.2
84,1979,Passaic,27.3027.3,18.6018.6,40.8040.8,47.6047.6,60.0060.0,64.9064.9,71.6071.6,70.6070.6,62.5062.5,51.2051.2,45.4045.4,33.5033.5
85,1980,Passaic,27.9027.9,25.0025.0,35.0035.0,50.0050.0,61.3061.3,65.3065.3,73.5073.5,74.2074.2,65.7065.7,50.0050.0,38.6038.6,26.0026.0
86,1981,Passaic,19.3019.3,33.6033.6,36.5036.5,51.2051.2,59.5059.5,67.8067.8,73.3073.3,69.4069.4,62.0062.0,48.2048.2,41.8041.8,29.4029.4
87,1982,Passaic,18.2018.2,29.4029.4,35.8035.8,46.4046.4,60.3060.3,63.6063.6,71.5071.5,67.1067.1,62.4062.4,51.8051.8,44.8044.8,36.9036.9
88,1983,Passaic,28.4028.4,30.6030.6,40.1040.1,47.5047.5,56.7056.7,67.9067.9,73.6073.6,72.3072.3,65.0065.0,52.0052.0,42.5042.5,28.9028.9
89,1984,Passaic,22.7022.7,34.6034.6,31.9031.9,47.8047.8,57.4057.4,69.2069.2,70.5070.5,72.1072.1,60.3060.3,56.1056.1,41.8041.8,37.1037.1
90,1985,Passaic,23.0023.0,30.1030.1,39.6039.6,51.2051.2,61.5061.5,64.6064.6,71.4071.4,70.0070.0,64.7064.7,52.6052.6,44.7044.7,28.6028.6
91,1986,Passaic,27.9027.9,26.7026.7,39.0039.0,49.6049.6,61.9061.9,66.5066.5,72.0072.0,68.3068.3,61.7061.7,52.6052.6,39.4039.4,33.1033.1
92,1987,Passaic,26.4026.4,27.7027.7,40.2040.2,49.9049.9,58.8058.8,68.8068.8,73.6073.6,68.7068.7,62.7062.7,47.7047.7,42.0042.0,34.2034.2
93,1988,Passaic,22.0022.0,28.6028.6,38.4038.4,47.0047.0,58.4058.4,67.3067.3,75.1075.1,73.7073.7,61.7061.7,47.3047.3,43.2043.2,29.9029.9
94,1989,Passaic,31.3031.3,29.3029.3,37.2037.2,46.5046.5,58.4058.4,68.6068.6,71.2071.2,69.7069.7,64.0064.0,53.4053.4,40.9040.9,19.6019.6
95,1990,Passaic,35.1035.1,34.5034.5,40.7040.7,49.0049.0,56.4056.4,67.8067.8,72.5072.5,71.2071.2,62.5062.5,56.8056.8,44.6044.6,36.8036.8
96,1991,Passaic,27.9027.9,34.5034.5,41.0041.0,51.4051.4,64.4064.4,69.8069.8,73.5073.5,72.7072.7,63.3063.3,53.3053.3,43.2043.2,34.7034.7
97,1992,Passaic,30.4030.4,32.3032.3,35.5035.5,46.1046.1,57.5057.5,65.6065.6,70.1070.1,67.7067.7,62.7062.7,49.0049.0,40.7040.7,31.8031.8
98,1993,Passaic,31.6031.6,24.6024.6,33.8033.8,48.7048.7,60.8060.8,67.7067.7,74.5074.5,72.2072.2,62.6062.6,49.7049.7,41.5041.5,31.1031.1
99,1994,Passaic,19.6019.6,24.3024.3,35.7035.7,50.6050.6,57.8057.8,70.1070.1,74.7074.7,68.6068.6,62.4062.4,51.5051.5,46.6046.6,36.1036.1
100,1995,Passaic,32.5032.5,26.0026.0,41.4041.4,47.6047.6,57.1057.1,68.3068.3,73.9073.9,72.6072.6,62.6062.6,55.6055.6,38.1038.1,26.9026.9
101,1996,Passaic,25.6025.6,28.5028.5,34.2034.2,48.2048.2,56.9056.9,68.0068.0,69.9069.9,70.6070.6,63.8063.8,52.3052.3,38.4038.4,35.5035.5
102,1997,Passaic,27.3027.3,35.4035.4,38.0038.0,47.0047.0,55.4055.4,66.5066.5,72.0072.0,68.9068.9,61.9061.9,51.9051.9,39.5039.5,33.2033.2
103,1998,Passaic,35.4035.4,37.0037.0,41.2041.2,50.8050.8,62.2062.2,65.8065.8,72.4072.4,72.5072.5,65.4065.4,53.2053.2,43.0043.0,38.2038.2
